Location,Removal,Recrt,Density,Canopy,Sp
CAI,1,91,-1.084062083306609,0.946134283488662,Guppy
CAI,0,60,0.939047322399374,-1.0834112350047782,Guppy
NAR,1,31,-1.7124008895444327,-1.950184944101096,Guppy
NAR,0,70,0.7807898071880287,0.63843263822987,Guppy
QUA,0,48,0.2690642756892923,0.7334750335728094,Guppy
QUA,1,76,-1.43665681225139,0.395314466146413,Guppy
QUA2,1,0,-0.7918351372562844,-1.199261507981445,Guppy
QUA2,0,0,-0.7678631358570521,-0.27538426459523885,Guppy
CAI,0,13,0.939047322399374,-1.0834112350047782,Killifish
NAR,0,26,0.7807898071880287,0.63843263822987,Killifish
QUA,0,40,0.2690642756892923,0.7334750335728094,Killifish
CAI,1,5,0.7933160449631097,0.7509856759412178,Killifish
NAR,1,7,-0.5067012030755472,0.07675146470522613,Killifish
QUA,1,56,1.1488842374164019,-1.6336489384119612,Killifish
QUA2,0,0,-0.7678631358570521,-0.27538426459523885,Killifish
QUA2,1,0,1.2727338555741663,1.1849378297894066,Killifish
