Location,Pool,Area (m²),Water (m³),Canopy (%),Guppy₁ (gr),Killifish₁ (gr),Guppy₂ (gr),Killifish₂ (gr),KG1,KG2
CAI,NK,17.22,3.04,30.20,10.96,16.29,13.07,17.46,1.49,1.34
CAI,NG,17.55,1.90,29.70,4.35,30.62,1.51,20.62,7.04,13.66
CAI,KG,15.74,2.24,25.00,12.70,19.17,10.74,18.78,1.51,1.75
NAR,NK,18.35,3.80,24.80,3.45,30.78,12.54,29.13,8.91,2.32
NAR,NG,9.55,1.50,33.10,17.67,18.13,19.14,17.79,1.03,0.93
NAR,KG,5.58,0.84,35.40,8.85,23.29,9.48,19.83,2.63,2.09
QUA,KG,12.61,2.51,26.10,4.91,43.65,6.62,55.14,8.90,8.32
QUA,NK,16.07,2.29,25.50,7.08,31.86,9.34,12.84,4.50,1.38
QUA,NG,15.20,3.50,21.90,6.30,63.42,0.51,69.24,10.07,135.50
QUA2,NG,11.75,2.17,36.90,2.68,33.11,2.36,17.52,12.34,7.41
QUA2,NK,9.14,2.56,20.90,3.54,9.76,3.93,14.29,2.76,3.64
QUA2,KG,13.19,1.93,27.10,3.41,16.03,1.17,9.72,4.71,8.29
,min,5.58,0.84,20.90,2.68,9.76,0.51,9.72,1.03,0.93
,max,18.35,3.80,36.90,17.67,63.42,19.14,69.24,12.34,135.50
,mean,13.50,2.36,28.05,7.16,28.01,7.53,25.20,5.49,15.55
,sd,3.93,0.82,5.09,4.60,14.67,5.83,18.16,3.85,37.98
