"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"S3",0,0,-262.634434502144,8.25990233901009,9.64613486529909,0.573184924852527,525.268869004288,16.5198046780202
"S2",-1.08318788281628,0.322664605055568,-263.717622384961,8.29940059601779,10.7516880190045,0.64490448914455,527.435244769921,16.5988011920356
"S1",-2.06864755117378,0.925814418123983,-264.703082053318,8.36222155390986,11.925080494911,0.736173947143636,529.406164106636,16.7244431078197
"G2",0,0,353.511373985201,14.6419820520945,12.3446721448136,1.50978320960096,-707.022747970402,29.2839641041891
"G1",-1.12980531562519,0.267042841476868,352.381568669576,14.6534827328521,13.3798223365005,1.6735304304464,-704.763137339152,29.3069654657043
"G3",-26.9242962804777,6.36089927445866,326.587077704724,14.9807867457222,12.3388224002523,1.86628031373619,-653.174155409447,29.9615734914444
"R2",0,0,-407.943628147403,25.2091297095071,15.75909326879,4.56433956459962,815.887256294805,50.4182594190141
"R1",-0.517325205097007,1.08092792792643,-408.460953352499,25.2083902056683,16.2933613066591,4.58145375719675,816.921906704998,50.4167804113366
"R3",-9.36983058884948,3.98441047380346,-417.313458736252,24.1988191292431,12.0283355975007,2.83337889101212,834.626917472504,48.3976382584862
